"HomeTeam","AwayTeam","ActualScore","ActualResult","PredResult","Confidence","Correct","Result","ConfBucket"
"Pisa","Inter","0 - 2","A","A",61,TRUE,"Correct","60%+"
"Atalanta","Fiorentina","2 - 0","H","H",27,TRUE,"Correct","20-40%"
"Roma","Napoli","0 - 1","A","H",13,FALSE,"Wrong","0-20%"
"Pisa","Sassuolo","1 - 3","A","A",24,TRUE,"Correct","20-40%"
"Napoli","Fiorentina","2 - 1","H","H",32,TRUE,"Correct","20-40%"
"Cagliari","Verona","4 - 0","H","H",9,TRUE,"Correct","0-20%"
"Genoa","Juventus","0 - 1","A","A",27,TRUE,"Correct","20-40%"
"Torino","Fiorentina","0 - 0","D","A",6,FALSE,"Wrong","0-20%"
"Inter","Udinese","1 - 2","A","H",62,FALSE,"Wrong","60%+"
"Lazio","Verona","4 - 0","H","H",35,TRUE,"Correct","20-40%"
