"Season","Date","HomeTeam","AwayTeam","HomeElo","AwayElo","EloDiff","WinProbHome","Actual","EloPrediction"
"2016/17",2016-08-20,"Juventus","Fiorentina",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-20,"Roma","Udinese",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-21,"Atalanta","Lazio",1500,1500,0,0.5715,"A","H"
"2016/17",2016-08-21,"Bologna","Crotone",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-21,"Chievo","Inter",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-21,"Empoli","Sampdoria",1500,1500,0,0.5715,"A","H"
"2016/17",2016-08-21,"Genoa","Cagliari",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-21,"Milan","Torino",1500,1500,0,0.5715,"H","H"
"2016/17",2016-08-21,"Palermo","Sassuolo",1500,1500,0,0.5715,"A","H"
"2016/17",2016-08-21,"Pescara","Napoli",1500,1500,0,0.5715,"D","H"
"2016/17",2016-08-27,"Lazio","Juventus",1532,1524,8,0.5827,"A","H"
"2016/17",2016-08-27,"Napoli","Milan",1504,1524,-20,0.5431,"H","H"
"2016/17",2016-08-28,"Cagliari","Roma",1476,1524,-48,0.5029,"D","H"
"2016/17",2016-08-28,"Crotone","Genoa",1476,1524,-48,0.5029,"A","H"
"2016/17",2016-08-28,"Fiorentina","Chievo",1476,1524,-48,0.5029,"H","H"
"2016/17",2016-08-28,"Inter","Palermo",1476,1468,8,0.5827,"D","H"
"2016/17",2016-08-28,"Sampdoria","Atalanta",1532,1468,64,0.6584,"H","H"
"2016/17",2016-08-28,"Sassuolo","Pescara",1532,1496,36,0.6213,"A","H"
"2016/17",2016-08-28,"Torino","Bologna",1476,1524,-48,0.5029,"H","H"
"2016/17",2016-08-28,"Udinese","Empoli",1476,1468,8,0.5827,"H","H"
"2016/17",2016-09-10,"Juventus","Sassuolo",1557,1497,59,0.6525,"H","H"
"2016/17",2016-09-10,"Palermo","Napoli",1473,1530,-57,0.49,"A","D"
"2016/17",2016-09-11,"Atalanta","Torino",1449,1504,-55,0.4928,"H","D"
"2016/17",2016-09-11,"Bologna","Cagliari",1496,1476,20,0.5998,"H","H"
"2016/17",2016-09-11,"Chievo","Lazio",1496,1499,-3,0.5669,"D","H"
"2016/17",2016-09-11,"Milan","Udinese",1498,1499,-1,0.5701,"A","H"
"2016/17",2016-09-11,"Pescara","Inter",1531,1471,59,0.6525,"A","H"
"2016/17",2016-09-11,"Roma","Sampdoria",1524,1551,-27,0.5331,"H","H"
"2016/17",2016-09-12,"Empoli","Crotone",1445,1448,-3,0.5669,"H","H"
"2016/17",2016-09-16,"Sampdoria","Milan",1525,1466,58,0.6513,"A","H"
"2016/17",2016-09-17,"Lazio","Pescara",1503,1494,9,0.5839,"H","H"
"2016/17",2016-09-17,"Napoli","Bologna",1557,1519,38,0.6246,"H","H"
"2016/17",2016-09-18,"Cagliari","Atalanta",1453,1477,-24,0.5376,"H","H"
