"Week","HomeTeam","AwayTeam","Actual","EnsemblePred","Confidence","Correct"
28,"Napoli","Torino","H","H",37,TRUE
28,"Cagliari","Como","A","A",15,TRUE
28,"Atalanta","Udinese","D","H",39,FALSE
28,"Juventus","Pisa","H","H",51,TRUE
28,"Lecce","Cremonese","H","H",9,TRUE
28,"Bologna","Verona","A","H",37,FALSE
28,"Fiorentina","Parma","D","H",28,FALSE
28,"Genoa","Roma","H","A",20,FALSE
28,"Milan","Inter","H","A",15,FALSE
28,"Lazio","Sassuolo","H","H",30,TRUE
29,"Torino","Parma","H","H",11,TRUE
29,"Inter","Atalanta","D","H",24,FALSE
29,"Napoli","Lecce","H","H",45,TRUE
29,"Udinese","Juventus","A","A",25,TRUE
29,"Verona","Genoa","A","A",11,TRUE
29,"Pisa","Cagliari","H","H",7,TRUE
29,"Sassuolo","Bologna","A","H",7,FALSE
29,"Como","Roma","H","H",8,TRUE
29,"Lazio","Milan","H","A",12,FALSE
29,"Cremonese","Fiorentina","A","A",24,TRUE
30,"Cagliari","Napoli","A","A",41,TRUE
30,"Genoa","Udinese","A","H",14,FALSE
30,"Parma","Cremonese","A","H",22,FALSE
30,"Milan","Torino","H","H",38,TRUE
30,"Juventus","Sassuolo","D","H",45,FALSE
30,"Como","Pisa","H","H",38,TRUE
30,"Atalanta","Verona","H","H",45,TRUE
30,"Bologna","Lazio","A","H",10,FALSE
30,"Roma","Lecce","H","H",44,TRUE
30,"Fiorentina","Inter","D","A",32,FALSE
31,"Sassuolo","Cagliari","H","H",24,TRUE
31,"Verona","Fiorentina","A","A",24,TRUE
31,"Lazio","Parma","D","H",36,FALSE
31,"Cremonese","Bologna","A","A",25,TRUE
31,"Pisa","Torino","A","A",10,TRUE
31,"Inter","Roma","H","H",36,TRUE
31,"Udinese","Como","D","A",12,FALSE
31,"Lecce","Atalanta","A","A",44,TRUE
31,"Juventus","Genoa","H","H",42,TRUE
31,"Napoli","Milan","H","H",19,TRUE
32,"Roma","Pisa","H","H",50,TRUE
32,"Cagliari","Cremonese","H","H",23,TRUE
32,"Torino","Verona","H","H",23,TRUE
32,"Milan","Udinese","A","H",40,FALSE
32,"Atalanta","Juventus","A","H",12,FALSE
32,"Genoa","Sassuolo","H","H",11,TRUE
32,"Parma","Napoli","D","A",40,FALSE
32,"Bologna","Lecce","H","H",35,TRUE
32,"Como","Inter","A","A",35,TRUE
32,"Fiorentina","Lazio","H","H",5,TRUE
33,"Sassuolo","Como","H","A",16,FALSE
33,"Inter","Cagliari","H","H",58,TRUE
33,"Udinese","Parma","A","H",17,FALSE
33,"Napoli","Lazio","A","H",26,FALSE
33,"Roma","Atalanta","D","H",10,FALSE
33,"Cremonese","Torino","D","A",22,FALSE
33,"Verona","Milan","A","A",41,TRUE
33,"Pisa","Genoa","A","A",10,TRUE
33,"Juventus","Bologna","H","H",38,TRUE
33,"Lecce","Fiorentina","D","A",29,FALSE
