"HomeTeam","AwayTeam","Actual","ModelPred","Confidence","ModelHome","ModelDraw","ModelAway","BookieHome","BookieDraw","BookieAway","ValueHome","ValueDraw","ValueAway","BookieMargin","OddsH","OddsD","OddsA","MaxValueGap"
"Genoa","Inter","D","A",54,0.1147,0.1868,0.6921,0.1455,0.2364,0.6181,-0.0308,-0.0496,0.074,5.7,6.5,4,1.53,0.074
"Parma","Fiorentina","D","A",23,0.2623,0.2471,0.489,0.2714,0.2968,0.4318,-0.0091,-0.0497,0.0572,5.3,3.5,3.2,2.2,0.0572
"Empoli","Monza","D","H",5,0.349,0.3019,0.3489,0.3825,0.2988,0.3187,-0.0335,0.0031,0.0302,4.6,2.5,3.2,3,0.0335
"Milan","Torino","D","H",36,0.5745,0.2395,0.1841,0.5855,0.2496,0.1649,-0.011,-0.0101,0.0192,5.4,1.62,3.8,5.75,0.0192
"Bologna","Udinese","D","H",35,0.5634,0.2451,0.1899,0.4993,0.2805,0.2202,0.0641,-0.0354,-0.0303,4.9,1.91,3.4,4.33,0.0641
"Verona","Napoli","H","A",56,0.106,0.1831,0.7043,0.1987,0.2621,0.5392,-0.0927,-0.079,0.1651,6,4.75,3.6,1.75,0.1651
"Cagliari","Roma","D","A",24,0.262,0.2411,0.4949,0.2321,0.2799,0.488,0.0299,-0.0388,0.0069,5.1,4.1,3.4,1.95,0.0388
"Lazio","Venezia","H","H",55,0.6996,0.1869,0.1075,0.6417,0.2316,0.1266,0.0579,-0.0447,-0.0191,5.3,1.48,4.1,7.5,0.0579
"Lecce","Atalanta","A","A",62,0.0847,0.1617,0.7436,0.227,0.2577,0.5153,-0.1423,-0.096,0.2283,4.9,4.2,3.7,1.85,0.2283
"Juventus","Como","H","H",41,0.6093,0.2425,0.1467,0.7112,0.1892,0.0996,-0.1019,0.0533,0.0471,5.7,1.33,5,9.5,0.1019
"Parma","Milan","H","A",40,0.1929,0.2026,0.5978,0.1995,0.243,0.5575,-0.0066,-0.0404,0.0403,5.5,4.75,3.9,1.7,0.0404
"Udinese","Lazio","H","A",26,0.2481,0.2467,0.5036,0.2883,0.3069,0.4048,-0.0402,-0.0602,0.0988,5.1,3.3,3.1,2.35,0.0988
"Inter","Lecce","H","H",62,0.7462,0.1687,0.0778,0.7913,0.1357,0.073,-0.0451,0.033,0.0048,5.3,1.2,7,13,0.0451
"Monza","Genoa","A","A",5,0.34,0.3076,0.3523,0.3648,0.3059,0.3293,-0.0248,0.0017,0.023,5.4,2.6,3.1,2.88,0.0248
"Fiorentina","Venezia","D","H",54,0.6917,0.1927,0.1104,0.6659,0.1991,0.1351,0.0258,-0.0064,-0.0247,5.8,1.42,4.75,7,0.0258
"Torino","Atalanta","H","A",31,0.1974,0.2624,0.5393,0.2961,0.3057,0.3982,-0.0987,-0.0433,0.1411,5.5,3.2,3.1,2.38,0.1411
