"MatchweekEst","HomeTeam","AwayTeam","PredResult","Label","Confidence","ProbHome","ProbDraw","ProbAway","ExpHome","ExpAway","EloHome","EloAway","BothAgree","WeatherFactor","WeatherFlag","RainWarning","Importance","Precipitation","WindSpeed","Temperature","WeatherSource"
1,"Atalanta","Genoa","H","Atalanta win",50,61,23.1,15.5,2.02,0.84,1635,1495,TRUE,1,"Clear",FALSE,0.274,0.7,7.8,18,"forecast"
1,"Lecce","Genoa","D","Draw",8,29.5,32.1,38.4,0.86,1.08,1434,1495,FALSE,1,"Clear",FALSE,0.453,0,12.5,16.5,"forecast"
1,"Fiorentina","Genoa","H","Fiorentina win",42,55.8,26,18,1.67,0.77,1592,1495,TRUE,1,"Clear",FALSE,0.337,0,15.1,17.5,"forecast"
1,"Parma","Sassuolo","D","Draw",8,38.6,25.9,35.3,1.62,1.64,1457,1433,FALSE,1,"Clear",FALSE,0.495,0,11.5,18.1,"forecast"
1,"Torino","Sassuolo","H","Torino win",26,45.3,28.1,26.6,1.43,1.05,1493,1433,TRUE,1,"Clear",FALSE,0.453,0.3,12.3,18.2,"forecast"
1,"Fiorentina","Sassuolo","H","Fiorentina win",46,58.9,22.4,18.1,2.24,1.17,1592,1433,TRUE,1,"Clear",FALSE,0.368,0,15.1,17.5,"forecast"
1,"Genoa","Milan","A","Milan win",33,24.3,25.7,49.8,1.12,1.84,1495,1604,TRUE,1,"Clear",FALSE,0.295,0,9.3,16.8,"forecast"
1,"Sassuolo","Milan","A","Milan win",38,22.4,23.5,53.6,1.3,2.18,1433,1604,TRUE,1,"Clear",FALSE,0.326,0,11,17.8,"forecast"
1,"Bologna","Roma","D","Draw",11,40.6,29.1,30.3,1.38,1.06,1589,1652,FALSE,1,"Clear",FALSE,0.274,0,11.6,18.2,"forecast"
1,"Parma","Roma","A","Roma win",33,23.7,26.4,49.8,1.07,1.64,1457,1652,TRUE,1,"Clear",FALSE,0.168,0,11.5,18.1,"forecast"
