"Season","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC","HF","AF"
"2021","21/08/2021","Inter","Genoa",4,0,"H",17,11,8,5,8,2,18,7
"2021","21/08/2021","Verona","Sassuolo",2,3,"A",12,15,4,8,7,4,11,12
"2021","21/08/2021","Empoli","Lazio",1,3,"A",16,8,5,5,5,3,13,10
"2021","21/08/2021","Torino","Atalanta",1,2,"A",19,6,8,2,5,1,17,13
"2021","22/08/2021","Bologna","Salernitana",3,2,"H",18,8,7,4,9,4,13,15
"2021","22/08/2021","Udinese","Juventus",2,2,"D",11,11,6,4,3,3,11,12
"2021","22/08/2021","Napoli","Venezia",2,0,"H",13,8,4,4,2,2,5,22
"2021","22/08/2021","Roma","Fiorentina",3,1,"H",11,11,6,8,4,4,12,14
"2021","23/08/2021","Cagliari","Spezia",2,2,"D",16,13,10,6,11,4,17,17
"2021","23/08/2021","Sampdoria","Milan",0,1,"A",11,10,3,4,8,3,16,14
"2021","27/08/2021","Udinese","Venezia",3,0,"H",18,8,10,3,7,2,11,8
"2021","27/08/2021","Verona","Inter",1,3,"A",4,15,1,8,6,4,13,12
"2021","28/08/2021","Atalanta","Bologna",0,0,"D",21,3,3,1,5,5,11,14
"2021","28/08/2021","Lazio","Spezia",6,1,"H",18,5,10,2,4,2,12,9
"2021","28/08/2021","Fiorentina","Torino",2,1,"H",10,4,7,1,3,3,13,28
"2021","28/08/2021","Juventus","Empoli",0,1,"A",20,9,6,3,8,9,11,6
"2021","29/08/2021","Genoa","Napoli",1,2,"A",7,12,3,8,4,5,17,15
"2021","29/08/2021","Sassuolo","Sampdoria",0,0,"D",19,13,6,3,8,6,9,14
"2021","29/08/2021","Milan","Cagliari",4,1,"H",17,6,5,2,8,3,12,11
"2021","29/08/2021","Salernitana","Roma",0,4,"A",4,21,0,10,1,10,12,11
"2021","11/09/2021","Empoli","Venezia",1,2,"A",17,10,6,3,8,2,12,21
"2021","11/09/2021","Napoli","Juventus",2,1,"H",24,7,7,4,13,1,14,16
"2021","11/09/2021","Atalanta","Fiorentina",1,2,"A",10,7,5,2,10,3,14,19
"2021","12/09/2021","Sampdoria","Inter",2,2,"D",12,8,3,3,4,4,12,13
"2021","12/09/2021","Cagliari","Genoa",2,3,"A",8,9,3,3,2,6,15,15
"2021","12/09/2021","Spezia","Udinese",0,1,"A",20,8,5,4,4,5,12,14
"2021","12/09/2021","Torino","Salernitana",4,0,"H",15,7,7,2,7,4,10,11
"2021","12/09/2021","Milan","Lazio",2,0,"H",17,7,3,5,5,1,9,18
"2021","12/09/2021","Roma","Sassuolo",2,1,"H",19,13,9,7,4,6,7,11
"2021","13/09/2021","Bologna","Verona",1,0,"H",13,5,4,1,6,2,14,21
"2021","17/09/2021","Sassuolo","Torino",0,1,"A",9,18,1,6,6,3,7,20
"2021","18/09/2021","Genoa","Fiorentina",1,2,"A",9,16,3,5,1,11,13,16
"2021","18/09/2021","Inter","Bologna",6,1,"H",19,7,11,2,5,1,10,9
"2021","18/09/2021","Salernitana","Atalanta",0,1,"A",11,10,1,3,6,4,21,13
