"Club","PLD","W","D","L","GF","GA","GD","PTS"
"Napoli",38,24,10,4,59,27,32,82
"Inter",38,24,9,5,79,35,44,81
"Atalanta",38,22,8,8,78,37,41,74
"Juventus",38,18,16,4,58,35,23,70
"Roma",38,20,9,9,56,35,21,69
"Fiorentina",38,19,8,11,60,41,19,65
"Lazio",38,18,11,9,61,49,12,65
"Milan",38,18,9,11,61,43,18,63
"Bologna",38,16,14,8,57,47,10,62
"Como",38,13,10,15,49,52,-3,49
"Torino",38,10,14,14,39,45,-6,44
"Udinese",38,12,8,18,41,56,-15,44
"Genoa",38,10,13,15,37,49,-12,43
"Verona",38,10,7,21,34,66,-32,37
"Parma",38,7,15,16,44,58,-14,36
"Cagliari",38,9,9,20,40,56,-16,36
"Lecce",38,8,10,20,27,58,-31,34
"Empoli",38,6,13,19,33,59,-26,31
"Venezia",38,5,14,19,32,56,-24,29
"Monza",38,3,9,26,28,69,-41,18
