"Club","PLD","W","D","L","GF","GA","GD","PTS","OptPythagFrac","OptPythagPTS","OptPythagDiff","OldPythagPTS"
"Napoli",38,24,10,4,59,27,32,82,0.756461586895153,79.91,2.09,75.89
"Inter",38,24,9,5,79,35,44,81,0.767122625342249,81.04,-0.04,76.68
"Atalanta",38,22,8,8,78,37,41,74,0.745228673190862,78.73,-4.73,74.86
"Juventus",38,18,16,4,58,35,23,70,0.663175310035374,70.06,-0.06,67.98
"Roma",38,20,9,9,56,35,21,69,0.650722896990733,68.74,0.26,66.92
"Fiorentina",38,19,8,11,60,41,19,65,0.618095547331189,65.3,-0.3,64.13
"Lazio",38,18,11,9,61,49,12,65,0.557944432092545,58.94,6.06,58.94
"Milan",38,18,9,11,61,43,18,63,0.606578633099478,64.08,-1.08,63.14
"Bologna",38,16,14,8,57,47,10,62,0.548513205682587,57.94,4.06,58.1
"Como",38,13,10,15,49,52,-3,49,0.455909994993757,48.16,0.84,49.83
"Torino",38,10,14,14,39,45,-6,44,0.427358121144766,45.15,-1.15,47.15
"Udinese",38,12,8,18,41,56,-15,44,0.368688887813964,38.95,5.05,41.71
"Genoa",38,10,13,15,37,49,-12,43,0.379823629955624,40.12,2.88,42.72
"Verona",38,10,7,21,34,66,-32,37,0.262611773859197,27.74,9.26,31.31
"Parma",38,7,15,16,44,58,-14,36,0.380161658258586,40.16,-4.16,42.82
"Cagliari",38,9,9,20,40,56,-16,36,0.360648152956194,38.1,-2.1,40.94
"Lecce",38,8,10,20,27,58,-31,34,0.237337417992296,25.07,8.93,28.65
"Empoli",38,6,13,19,33,59,-26,31,0.285979944732731,30.21,0.79,33.63
"Venezia",38,5,14,19,32,56,-24,29,0.292432676574936,30.89,-1.89,34.26
"Monza",38,3,9,26,28,69,-41,18,0.203992438123008,21.55,-3.55,25.2
